Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
A18,6,,,,2,3,,5,5.4,1725.246,,,
A18,7,,,,5,10,,15,5.333333333,1727.796667,,,
A18,8,,,1,1,,,2,6.5,1683.16,,,
A19,3a,,,2,4,6,,12,5.666666667,1715.043333,,,
A19,4,,,,3,21,4,28,4.964285714,1741.916429,,,
A19,5,,,,1,21,4,26,4.884615385,1744.964615,,,
A19,6,,,,1,3,,4,5.25,1730.985,,,
A19,7 and 8,,,,3,4,,7,5.428571429,1724.152857,,,
A20,3a,,,1,4,9,,14,5.428571429,1724.152857,,,
A20,4,,,,2,8,,10,5.2,1732.898,,,
A20,5,,,,,13,2,15,4.866666667,1745.651333,,,
A21,3,,,1,3,3,,7,5.714285714,1713.221429,,,
A21,4,,,,,1,,1,5,1740.55,,,
A21,5,,,,,2,,2,5,1740.55,,,
A21,7,,,1,5,18,1,25,5.24,1731.3676,,,
A21,8,,,2,,1,,3,6.333333333,1689.536667,,,
A22,1 and 2,,,,,1,,1,5,1740.55,,,
A22,3a,,,,2,5,,7,5.285714286,1729.618571,,,
A22,4,,,,4,4,,8,5.5,1721.42,,,
A22,5,,,,,3,,3,5,1740.55,,,
A22,6,,,,,1,,1,5,1740.55,,,
A22,7 and 8,,,2,4,4,,10,5.8,1709.942,,,
A23,3,,,1,,1,,2,6,1702.29,,,
A23,4,,,,2,3,1,6,5.166666667,1734.173333,,,
A23,5,,,,1,3,,4,5.25,1730.985,,,
A23,6,,,,,5,,5,5,1740.55,,,
A23,7,,,,2,4,,6,5.333333333,1727.796667,,,
A23,8,,,,,1,,1,5,1740.55,,,
A24,3,,,,2,3,,5,5.4,1725.246,,,
A24,4,,,,,8,4,12,4.666666667,1753.303333,,,
A24,5,,,,,5,1,6,4.833333333,1746.926667,,,
A24,8,,,,1,1,,2,5.5,1721.42,,,
A25,1 and 2,,,,,1,,1,5,1740.55,,,
A25,3,,,,,3,,3,5,1740.55,,,
A25,4,,,,1,1,,2,5.5,1721.42,,,
A25,5 and 6,,,1,,4,,5,5.4,1725.246,,,
A25,6,,,,2,4,,6,5.333333333,1727.796667,,,
A25,7,,,,1,1,,2,5.5,1721.42,,,
B,2,,,,3,,,3,6,1702.29,,,
B,3a,,,2,2,7,1,12,5.416666667,1724.608333,,,
B,3b,,,,,12,5,17,4.705882353,1751.802941,,,
B,4,,,,,18,3,21,4.857142857,1746.015714,,,
B,6,,,,1,4,1,6,5,1740.55,,,
B,7,,,,,3,,3,5,1740.55,,,
B,8,,,,1,2,,3,5.333333333,1727.796667,,,
B1,1a,,,,1,16,1,18,5,1740.55,,,
B1,2,,,,,7,,7,5,1740.55,,,
B1,3a,,,,12,7,,19,5.631578947,1716.385789,,,
B1,3b,,,1,6,12,1,20,5.35,1727.159,,,
B1,4,,,,,6,,6,5,1740.55,,,
B1,5,,,,1,4,,5,5.2,1732.898,,,
B1,6,,,1,,,,1,7,1664.03,,,
